"Neighbourhood","Neighbourhood Id","Combined Indicators","Green Rebate Programs","Tree Cover","Green Spaces","City Green Retrofits","Polluting Facilities"
"Casa Loma",96.0,"N/A",77.0,893260.916639,0.17358,2.0,0.0
"Yonge-St.Clair",97.0,"N/A",98.0,428626.435735,0.02451,1.0,0.0
"Rosedale-Moore Park",98.0,"N/A",175.0,2557866.411272,0.79282,2.0,0.0
"Mount Pleasant East",99.0,"N/A",199.0,1407432.302953,0.08705,2.0,0.0
"Yonge-Eglinton",100.0,"N/A",115.0,581770.250794,0.12701,4.0,0.0
"Forest Hill South",101.0,"N/A",117.0,1122215.130747,0.12716,2.0,0.0
"Forest Hill North",102.0,"N/A",95.0,601604.526778,0.09639,0.0,0.0
"Lawrence Park South",103.0,"N/A",217.0,1808680.345276,0.1909,2.0,0.0
"Mount Pleasant West",104.0,"N/A",98.0,327893.456996,0.04729,0.0,0.0
"Lawrence Park North",105.0,"N/A",196.0,1126524.596572,0.04025,1.0,0.0
"Humewood-Cedarvale",106.0,"N/A",142.0,689493.741206,0.22185,2.0,0.0
"Oakwood Village",107.0,"N/A",191.0,332628.152036,0.0509,3.0,0.0
"Briar Hill-Belgravia",108.0,"N/A",106.0,169474.249472,0.07902,0.0,2.0
"Caledonia-Fairbank",109.0,"N/A",97.0,325125.195414,0.0294,0.0,0.0
"Keelesdale-Eglinton West",110.0,"N/A",120.0,348052.1995,0.13552,2.0,1.0
"Rockcliffe-Smythe",111.0,"N/A",229.0,1538308.167176,0.5843,0.0,0.0
"Beechborough-Greenbrook",112.0,"N/A",57.0,471027.146709,0.21437,4.0,2.0
"Weston",113.0,"N/A",103.0,804471.040821,0.22235,2.0,1.0
"Lambton Baby Point",114.0,"N/A",115.0,800289.802269,0.35926,0.0,0.0
"Mount Dennis",115.0,"N/A",87.0,705790.796602,0.69241,3.0,1.0
"Steeles",116.0,"N/A",538.0,1022877.241517,0.44764,1.0,2.0
"L'Amoreaux",117.0,"N/A",572.0,2262946.56042,0.59793,1.0,0.0
"Tam O'Shanter-Sullivan",118.0,"N/A",312.0,1710828.495306,0.34826,2.0,1.0
"Wexford/Maryvale",119.0,"N/A",324.0,2010846.17275,0.47132,4.0,9.0
"Clairlea-Birchmount",120.0,"N/A",232.0,1282846.088495,0.39731,2.0,12.0
"Oakridge",121.0,"N/A",60.0,523379.954316,0.2724,0.0,0.0
"Birchcliffe-Cliffside",122.0,"N/A",309.0,2019988.264053,0.58314,5.0,3.0
"Cliffcrest",123.0,"N/A",228.0,2461970.643522,1.37719,1.0,1.0
"Kennedy Park",124.0,"N/A",352.0,826781.070496,0.11803,2.0,0.0
"Ionview",125.0,"N/A",114.0,409684.09717,0.12964,1.0,0.0
"Dorset Park",126.0,"N/A",190.0,631875.461682,0.17378,5.0,15.0
"Bendale",127.0,"N/A",347.0,1772970.419323,0.9881,3.0,6.0
"Agincourt South-Malvern West",128.0,"N/A",410.0,1400164.908538,0.23946,4.0,14.0
"Agincourt North",129.0,"N/A",546.0,1254144.345543,0.24951,3.0,3.0
"Milliken",130.0,"N/A",616.0,1043903.036377,0.50885,1.0,14.0
"Rouge",131.0,"N/A",592.0,1.2888043878352E7,14.25833,2.0,12.0
"Malvern",132.0,"N/A",763.0,1249250.532027,0.68761,4.0,5.0
"Centennial Scarborough",133.0,"N/A",247.0,1802189.828409,0.80918,1.0,0.0
"Highland Creek",134.0,"N/A",272.0,1444565.206022,0.24066,2.0,0.0
"Morningside",135.0,"N/A",235.0,2317635.581513,1.84736,1.0,0.0
"West Hill",136.0,"N/A",271.0,3403338.250225,1.9676,2.0,10.0
"Woburn",137.0,"N/A",512.0,2746208.22918,1.28579,3.0,11.0
"Eglinton East",138.0,"N/A",173.0,656321.183837,0.23025,0.0,3.0
"Scarborough Village",139.0,"N/A",100.0,1127497.011246,0.28573,1.0,0.0
"Guildwood",140.0,"N/A",171.0,1681205.081635,0.66435,0.0,0.0
