"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - French","   Language - Chinese","   Language - Tamil","   Language - Italian","   Language - Spanish","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Russian","   Language - Persian (Farsi)","   Language - Korean"
"Mount Pleasant East",99.0,"N/A",15690.0,175.0,380.0,20.0,125.0,215.0,75.0,135.0,20.0,180.0,150.0,105.0
"Yonge-Eglinton",100.0,"N/A",10380.0,115.0,280.0,10.0,100.0,235.0,45.0,115.0,10.0,85.0,60.0,145.0
"Forest Hill South",101.0,"N/A",10520.0,75.0,180.0,0.0,95.0,155.0,40.0,245.0,0.0,120.0,65.0,30.0
"Forest Hill North",102.0,"N/A",12155.0,85.0,225.0,5.0,145.0,475.0,85.0,750.0,20.0,485.0,65.0,85.0
"Lawrence Park South",103.0,"N/A",14855.0,105.0,270.0,5.0,155.0,170.0,35.0,205.0,5.0,110.0,90.0,95.0
"Mount Pleasant West",104.0,"N/A",27655.0,320.0,1080.0,85.0,225.0,900.0,260.0,495.0,70.0,740.0,990.0,610.0
"Lawrence Park North",105.0,"N/A",14205.0,90.0,355.0,10.0,180.0,140.0,60.0,145.0,15.0,135.0,90.0,165.0
"Humewood-Cedarvale",106.0,"N/A",13680.0,95.0,220.0,15.0,350.0,605.0,255.0,780.0,20.0,140.0,50.0,120.0
"Oakwood Village",107.0,"N/A",20205.0,95.0,570.0,25.0,1810.0,1405.0,1970.0,1070.0,35.0,165.0,40.0,110.0
"Briar Hill-Belgravia",108.0,"N/A",13680.0,55.0,345.0,80.0,1020.0,800.0,1100.0,1190.0,25.0,600.0,40.0,65.0
"Caledonia-Fairbank",109.0,"N/A",9430.0,20.0,110.0,20.0,780.0,765.0,2745.0,395.0,20.0,20.0,10.0,15.0
"Keelesdale-Eglinton West",110.0,"N/A",10195.0,20.0,225.0,65.0,775.0,740.0,2755.0,310.0,60.0,25.0,10.0,5.0
"Rockcliffe-Smythe",111.0,"N/A",21500.0,85.0,475.0,50.0,700.0,2035.0,2540.0,365.0,80.0,120.0,55.0,65.0
"Beechborough-Greenbrook",112.0,"N/A",6245.0,15.0,45.0,90.0,410.0,285.0,795.0,170.0,15.0,10.0,5.0,15.0
"Weston",113.0,"N/A",17445.0,65.0,230.0,320.0,650.0,1400.0,655.0,270.0,60.0,55.0,170.0,40.0
"Lambton Baby Point",114.0,"N/A",7750.0,70.0,85.0,0.0,95.0,205.0,125.0,40.0,0.0,105.0,30.0,45.0
"Mount Dennis",115.0,"N/A",12425.0,50.0,295.0,65.0,210.0,1290.0,800.0,390.0,60.0,60.0,70.0,175.0
"Steeles",116.0,"N/A",23975.0,45.0,15735.0,270.0,260.0,85.0,30.0,350.0,105.0,25.0,80.0,90.0
"L'Amoreaux",117.0,"N/A",43075.0,180.0,15065.0,3655.0,715.0,320.0,100.0,1125.0,510.0,100.0,675.0,180.0
"Tam O'Shanter-Sullivan",118.0,"N/A",26195.0,120.0,8220.0,1150.0,340.0,315.0,70.0,820.0,780.0,65.0,420.0,170.0
"Wexford/Maryvale",119.0,"N/A",25830.0,130.0,1255.0,1070.0,565.0,515.0,145.0,1705.0,400.0,65.0,280.0,155.0
"Clairlea-Birchmount",120.0,"N/A",23025.0,135.0,1800.0,535.0,460.0,350.0,120.0,1360.0,740.0,75.0,230.0,60.0
"Oakridge",121.0,"N/A",12880.0,135.0,640.0,200.0,120.0,125.0,50.0,455.0,460.0,55.0,335.0,40.0
"Birchcliffe-Cliffside",122.0,"N/A",21080.0,140.0,740.0,105.0,245.0,220.0,120.0,345.0,60.0,70.0,75.0,20.0
"Cliffcrest",123.0,"N/A",15340.0,60.0,560.0,415.0,200.0,200.0,65.0,365.0,100.0,90.0,150.0,40.0
"Kennedy Park",124.0,"N/A",16255.0,110.0,1145.0,955.0,315.0,265.0,75.0,1305.0,225.0,25.0,200.0,35.0
"Ionview",125.0,"N/A",12475.0,90.0,800.0,1075.0,140.0,170.0,45.0,1100.0,165.0,15.0,65.0,20.0
"Dorset Park",126.0,"N/A",22755.0,90.0,2410.0,2955.0,205.0,290.0,70.0,1310.0,870.0,35.0,430.0,50.0
"Bendale",127.0,"N/A",26175.0,50.0,3585.0,1750.0,300.0,335.0,110.0,1445.0,970.0,45.0,425.0,175.0
