"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Tenants","High Shelter Costs","Owned Dwellings","Rented Dwellings","Home Repairs Needed","Tenant Average Rent"
"Alderwood",20.0,"N/A",4665.0,18.2,3635.0,1030.0,375.0,984.0
"Humber Summit",21.0,"N/A",3790.0,29.2,2745.0,1045.0,155.0,907.0
"Humbermede",22.0,"N/A",5115.0,28.5,2660.0,2455.0,375.0,966.0
"Pelmo Park-Humberlea",23.0,"N/A",2975.0,20.8,2525.0,450.0,190.0,1019.0
"Black Creek",24.0,"N/A",7250.0,25.9,2390.0,4855.0,1070.0,846.0
"Glenfield-Jane Heights",25.0,"N/A",10000.0,26.7,4950.0,5055.0,1145.0,818.0
"Downsview-Roding-CFB",26.0,"N/A",13265.0,25.9,6145.0,7125.0,1200.0,905.0
"York University Heights",27.0,"N/A",10315.0,33.3,4650.0,5660.0,810.0,911.0
"Rustic",28.0,"N/A",3655.0,27.8,1495.0,2160.0,290.0,740.0
"Maple Leaf",29.0,"N/A",3555.0,19.6,1990.0,1565.0,385.0,936.0
"Brookhaven-Amesbury",30.0,"N/A",6390.0,27.0,2660.0,3730.0,570.0,893.0
"Yorkdale-Glen Park",31.0,"N/A",5240.0,25.5,2965.0,2280.0,540.0,916.0
"Englemount-Lawrence",32.0,"N/A",8135.0,27.9,3445.0,4690.0,610.0,904.0
"Clanton Park",33.0,"N/A",5540.0,24.7,2925.0,2610.0,370.0,938.0
"Bathurst Manor",34.0,"N/A",6020.0,26.9,3230.0,2790.0,320.0,1015.0
"Westminster-Branson",35.0,"N/A",10095.0,36.0,4055.0,6040.0,1295.0,1095.0
"Newtonbrook West",36.0,"N/A",8620.0,34.4,4890.0,3730.0,570.0,1135.0
"Willowdale West",37.0,"N/A",6680.0,34.0,4555.0,2120.0,300.0,1117.0
"Lansing-Westgate",38.0,"N/A",5985.0,28.3,3525.0,2460.0,525.0,1332.0
"Bedford Park-Nortown",39.0,"N/A",8715.0,21.2,5960.0,2755.0,485.0,1124.0
"St.Andrew-Windfields",40.0,"N/A",6460.0,26.3,4290.0,2180.0,215.0,1270.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",3005.0,18.7,2805.0,200.0,95.0,2388.0
"Banbury-Don Mills",42.0,"N/A",11770.0,25.8,7035.0,4735.0,570.0,1213.0
"Victoria Village",43.0,"N/A",7285.0,21.9,3085.0,4205.0,750.0,867.0
"Flemingdon Park",44.0,"N/A",8035.0,34.8,3755.0,4280.0,970.0,932.0
"Parkwoods-Donalda",45.0,"N/A",13140.0,23.1,5365.0,7775.0,1050.0,1114.0
"Pleasant View",46.0,"N/A",5525.0,28.4,4215.0,1310.0,405.0,1075.0
"Don Valley Village",47.0,"N/A",9750.0,32.1,5010.0,4735.0,710.0,1114.0
"Hillcrest Village",48.0,"N/A",6545.0,27.2,5060.0,1485.0,515.0,678.0
"Bayview Woods-Steeles",49.0,"N/A",4720.0,25.1,2795.0,1930.0,230.0,1459.0
"Newtonbrook East",50.0,"N/A",6230.0,35.6,4210.0,2015.0,375.0,1203.0
"Willowdale East",51.0,"N/A",19635.0,38.0,13515.0,6120.0,460.0,1453.0
"Bayview Village",52.0,"N/A",7375.0,34.7,4805.0,2565.0,340.0,1441.0
"Henry Farm",53.0,"N/A",4095.0,32.5,1450.0,2650.0,235.0,1156.0
"O'Connor-Parkview",54.0,"N/A",7400.0,23.9,3600.0,3805.0,780.0,865.0
"Thorncliffe Park",55.0,"N/A",6710.0,43.0,610.0,6105.0,730.0,1055.0
"Leaside-Bennington",56.0,"N/A",6550.0,14.3,4780.0,1770.0,350.0,1158.0
"Broadview North",57.0,"N/A",5615.0,30.1,1915.0,3695.0,575.0,940.0
"Old East York",58.0,"N/A",3855.0,20.0,2670.0,1185.0,305.0,959.0
"Danforth-East York",59.0,"N/A",6950.0,20.6,5005.0,1945.0,775.0,923.0
"Woodbine-Lumsden",60.0,"N/A",3485.0,23.6,2380.0,1095.0,525.0,823.0
"Taylor-Massey",61.0,"N/A",6295.0,36.6,2260.0,4035.0,790.0,882.0
"East End-Danforth",62.0,"N/A",9115.0,25.2,4930.0,4185.0,970.0,831.0
"The Beaches",63.0,"N/A",9375.0,22.1,6240.0,3140.0,640.0,1154.0
"Woodbine Corridor",64.0,"N/A",5205.0,18.6,3250.0,1965.0,560.0,782.0
"Greenwood-Coxwell",65.0,"N/A",6005.0,24.3,3715.0,2285.0,855.0,829.0
"Danforth",66.0,"N/A",3905.0,20.3,2490.0,1410.0,320.0,828.0
"Playter Estates-Danforth",67.0,"N/A",3535.0,27.3,1665.0,1865.0,365.0,1075.0
"North Riverdale",68.0,"N/A",5150.0,18.8,2945.0,2200.0,420.0,1057.0
"Blake-Jones",69.0,"N/A",3235.0,28.2,1760.0,1480.0,290.0,778.0
"South Riverdale",70.0,"N/A",10740.0,27.3,6635.0,4105.0,1115.0,859.0
"Cabbagetown-South St.James Town",71.0,"N/A",6630.0,25.5,2940.0,3690.0,570.0,976.0
"Regent Park",72.0,"N/A",3845.0,41.5,715.0,3135.0,675.0,631.0
"Moss Park",73.0,"N/A",9030.0,31.4,3335.0,5695.0,765.0,795.0
"North St.James Town",74.0,"N/A",9200.0,48.8,615.0,8590.0,1080.0,879.0
"Church-Yonge Corridor",75.0,"N/A",18230.0,38.4,5330.0,12900.0,1090.0,1134.0
"Bay Street Corridor",76.0,"N/A",11395.0,46.2,3775.0,7625.0,380.0,1467.0
"Waterfront Communities-The Island",77.0,"N/A",26990.0,37.2,13350.0,13640.0,615.0,1417.0
