"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants","Recent Immigrants Category","   Caribbean/Central/S. America","   Europe","   Africa","   West Asia/Middle East","   Eastern Asia","   South East Asia","   Southern Asia"
"Weston",113.0,"N/A",1615.0,1615.0,490.0,225.0,415.0,205.0,30.0,35.0,190.0
"Lambton Baby Point",114.0,"N/A",400.0,400.0,10.0,120.0,95.0,80.0,10.0,15.0,0.0
"Mount Dennis",115.0,"N/A",1435.0,1435.0,460.0,225.0,325.0,110.0,15.0,155.0,105.0
"Steeles",116.0,"N/A",3790.0,3790.0,25.0,15.0,55.0,95.0,3315.0,135.0,135.0
"L'Amoreaux",117.0,"N/A",7890.0,7885.0,155.0,60.0,285.0,700.0,4660.0,445.0,1450.0
"Tam O'Shanter-Sullivan",118.0,"N/A",5290.0,5280.0,140.0,145.0,150.0,300.0,3065.0,545.0,905.0
"Wexford/Maryvale",119.0,"N/A",2130.0,2125.0,190.0,165.0,130.0,220.0,340.0,420.0,570.0
"Clairlea-Birchmount",120.0,"N/A",2510.0,2510.0,120.0,160.0,220.0,165.0,365.0,495.0,950.0
"Oakridge",121.0,"N/A",2930.0,2925.0,50.0,145.0,150.0,320.0,175.0,245.0,1825.0
"Birchcliffe-Cliffside",122.0,"N/A",710.0,710.0,50.0,90.0,55.0,35.0,230.0,35.0,180.0
"Cliffcrest",123.0,"N/A",630.0,630.0,65.0,105.0,30.0,85.0,140.0,80.0,120.0
"Kennedy Park",124.0,"N/A",1910.0,1915.0,155.0,40.0,110.0,75.0,210.0,495.0,790.0
"Ionview",125.0,"N/A",2095.0,2095.0,190.0,25.0,165.0,75.0,450.0,635.0,515.0
"Dorset Park",126.0,"N/A",3660.0,3660.0,225.0,110.0,145.0,365.0,750.0,405.0,1555.0
"Bendale",127.0,"N/A",2395.0,2395.0,220.0,120.0,100.0,250.0,460.0,365.0,855.0
"Agincourt South-Malvern West",128.0,"N/A",3060.0,3055.0,115.0,30.0,70.0,110.0,1915.0,125.0,620.0
"Agincourt North",129.0,"N/A",4265.0,4275.0,75.0,30.0,45.0,100.0,2880.0,160.0,910.0
"Milliken",130.0,"N/A",3405.0,3405.0,145.0,10.0,75.0,95.0,2350.0,95.0,580.0
"Rouge",131.0,"N/A",2560.0,2550.0,300.0,55.0,80.0,110.0,145.0,400.0,1360.0
"Malvern",132.0,"N/A",5000.0,4985.0,655.0,85.0,185.0,170.0,275.0,495.0,3060.0
"Centennial Scarborough",133.0,"N/A",425.0,425.0,65.0,15.0,15.0,0.0,70.0,145.0,105.0
"Highland Creek",134.0,"N/A",330.0,330.0,45.0,65.0,0.0,0.0,25.0,65.0,120.0
"Morningside",135.0,"N/A",2060.0,2065.0,185.0,95.0,155.0,215.0,105.0,265.0,1015.0
"West Hill",136.0,"N/A",1850.0,1850.0,225.0,45.0,270.0,220.0,80.0,265.0,710.0
"Woburn",137.0,"N/A",9140.0,9135.0,390.0,230.0,280.0,460.0,875.0,845.0,5970.0
"Eglinton East",138.0,"N/A",2670.0,2665.0,255.0,100.0,175.0,190.0,235.0,630.0,1045.0
"Scarborough Village",139.0,"N/A",2295.0,2290.0,175.0,50.0,125.0,385.0,40.0,145.0,1315.0
"Guildwood",140.0,"N/A",245.0,240.0,70.0,10.0,10.0,0.0,40.0,10.0,85.0
