"Neighbourhood","Neighbourhood Id","Combined Indicators","Recent Immigrants Category","   Southern Asia","   South East Asia","   Eastern Asia","   West Asia/Middle East","   Africa","   Europe","   Caribbean/Central/S. America"
"Yonge-Eglinton",100.0,"N/A",435.0,35.0,25.0,10.0,90.0,25.0,85.0,60.0
"Forest Hill South",101.0,"N/A",320.0,0.0,100.0,0.0,0.0,20.0,100.0,60.0
"Forest Hill North",102.0,"N/A",1365.0,0.0,505.0,30.0,115.0,30.0,475.0,100.0
"Lawrence Park South",103.0,"N/A",485.0,0.0,75.0,40.0,25.0,20.0,110.0,60.0
"Mount Pleasant West",104.0,"N/A",2760.0,270.0,260.0,355.0,445.0,130.0,605.0,460.0
"Lawrence Park North",105.0,"N/A",400.0,0.0,60.0,30.0,0.0,0.0,95.0,0.0
"Humewood-Cedarvale",106.0,"N/A",830.0,20.0,375.0,0.0,25.0,50.0,95.0,150.0
"Oakwood Village",107.0,"N/A",1650.0,0.0,525.0,35.0,10.0,100.0,315.0,590.0
"Briar Hill-Belgravia",108.0,"N/A",1575.0,0.0,725.0,50.0,0.0,80.0,340.0,335.0
"Caledonia-Fairbank",109.0,"N/A",855.0,0.0,140.0,40.0,15.0,30.0,365.0,205.0
"Keelesdale-Eglinton West",110.0,"N/A",960.0,50.0,265.0,0.0,0.0,60.0,325.0,230.0
"Rockcliffe-Smythe",111.0,"N/A",1080.0,80.0,225.0,0.0,0.0,45.0,165.0,510.0
"Beechborough-Greenbrook",112.0,"N/A",520.0,0.0,55.0,0.0,90.0,90.0,20.0,230.0
"Weston",113.0,"N/A",1070.0,95.0,115.0,20.0,0.0,375.0,80.0,325.0
"Lambton Baby Point",114.0,"N/A",240.0,0.0,0.0,0.0,0.0,70.0,55.0,60.0
"Mount Dennis",115.0,"N/A",1175.0,0.0,200.0,0.0,0.0,140.0,140.0,545.0
"Steeles",116.0,"N/A",2745.0,50.0,95.0,2395.0,20.0,55.0,0.0,45.0
"L'Amoreaux",117.0,"N/A",4355.0,905.0,300.0,2325.0,370.0,145.0,60.0,165.0
"Tam O'Shanter-Sullivan",118.0,"N/A",3080.0,740.0,420.0,1470.0,95.0,115.0,50.0,65.0
"Wexford/Maryvale",119.0,"N/A",1750.0,350.0,755.0,110.0,60.0,70.0,95.0,155.0
"Clairlea-Birchmount",120.0,"N/A",2110.0,810.0,525.0,110.0,0.0,130.0,170.0,170.0
