"Neighbourhood","Neighbourhood Id","Combined Indicators","TCHC Facility Amenities","PFR Program Registrations","PFR Program Free Registrations","PFR Community Space Use","PFR Permits Issued","Sports Facilities"
"Runnymede-Bloor West Village",89.0,"N/A",0.0,2421.0,0.0,0.0,14.0,14.0
"Junction Area",90.0,"N/A",0.0,0.0,0.0,0.0,521.0,8.0
"Weston-Pellam Park",91.0,"N/A",5.0,0.0,0.0,0.0,120.0,14.0
"Corso Italia-Davenport",92.0,"N/A",0.0,6370.0,79.0,912.0,1484.0,16.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",4.0,3392.0,196.0,59.0,835.0,29.0
"Wychwood",94.0,"N/A",1.0,1533.0,134.0,372.0,1145.0,8.0
"Annex",95.0,"N/A",2.0,0.0,0.0,0.0,78.0,11.0
"Casa Loma",96.0,"N/A",0.0,0.0,0.0,200.0,2371.0,4.0
"Yonge-St.Clair",97.0,"N/A",0.0,1526.0,95.0,0.0,12.0,3.0
"Rosedale-Moore Park",98.0,"N/A",0.0,298.0,5.0,387.0,3580.0,19.0
"Mount Pleasant East",99.0,"N/A",2.0,1417.0,280.0,3.0,159.0,15.0
"Yonge-Eglinton",100.0,"N/A",0.0,5252.0,250.0,563.0,2391.0,13.0
"Forest Hill South",101.0,"N/A",0.0,0.0,0.0,0.0,1.0,7.0
"Forest Hill North",102.0,"N/A",0.0,0.0,0.0,0.0,459.0,18.0
"Lawrence Park South",103.0,"N/A",0.0,0.0,0.0,563.0,2615.0,23.0
"Mount Pleasant West",104.0,"N/A",12.0,0.0,0.0,209.0,1639.0,25.0
"Lawrence Park North",105.0,"N/A",1.0,2120.0,2.0,213.0,1529.0,14.0
"Humewood-Cedarvale",106.0,"N/A",2.0,699.0,15.0,0.0,1231.0,14.0
"Oakwood Village",107.0,"N/A",2.0,1883.0,0.0,0.0,0.0,17.0
"Briar Hill-Belgravia",108.0,"N/A",1.0,0.0,0.0,0.0,1.0,4.0
"Caledonia-Fairbank",109.0,"N/A",0.0,2378.0,250.0,1839.0,2508.0,19.0
"Keelesdale-Eglinton West",110.0,"N/A",2.0,3716.0,347.0,258.0,1123.0,28.0
"Rockcliffe-Smythe",111.0,"N/A",4.0,1104.0,0.0,1176.0,3418.0,41.0
"Beechborough-Greenbrook",112.0,"N/A",2.0,225.0,0.0,2.0,928.0,3.0
"Weston",113.0,"N/A",4.0,1764.0,19.0,194.0,1471.0,24.0
"Lambton Baby Point",114.0,"N/A",6.0,1279.0,0.0,175.0,1923.0,11.0
"Mount Dennis",115.0,"N/A",2.0,397.0,1.0,1.0,1.0,16.0
"Steeles",116.0,"N/A",0.0,5170.0,1214.0,1577.0,3231.0,33.0
"L'Amoreaux",117.0,"N/A",9.0,4385.0,667.0,1.0,2661.0,78.0
"Tam O'Shanter-Sullivan",118.0,"N/A",15.0,2588.0,150.0,277.0,4553.0,49.0
"Wexford/Maryvale",119.0,"N/A",0.0,7001.0,376.0,1408.0,4721.0,60.0
"Clairlea-Birchmount",120.0,"N/A",2.0,5.0,896.0,539.0,1846.0,30.0
"Oakridge",121.0,"N/A",16.0,0.0,1651.0,356.0,486.0,9.0
"Birchcliffe-Cliffside",122.0,"N/A",5.0,7062.0,343.0,3598.0,8829.0,43.0
"Cliffcrest",123.0,"N/A",6.0,398.0,124.0,0.0,675.0,31.0
"Kennedy Park",124.0,"N/A",8.0,4097.0,347.0,1080.0,3953.0,27.0
"Ionview",125.0,"N/A",2.0,187.0,0.0,313.0,648.0,7.0
"Dorset Park",126.0,"N/A",5.0,3522.0,277.0,1084.0,3480.0,35.0
"Bendale",127.0,"N/A",6.0,4070.0,545.0,485.0,2421.0,32.0
"Agincourt South-Malvern West",128.0,"N/A",0.0,10830.0,322.0,1537.0,4673.0,41.0
"Agincourt North",129.0,"N/A",0.0,4217.0,306.0,264.0,3512.0,43.0
"Milliken",130.0,"N/A",0.0,3952.0,1486.0,1580.0,2390.0,39.0
"Rouge",131.0,"N/A",0.0,1386.0,926.0,594.0,1891.0,40.0
"Malvern",132.0,"N/A",8.0,8432.0,1285.0,2683.0,7946.0,70.0
"Centennial Scarborough",133.0,"N/A",0.0,3815.0,469.0,1133.0,3563.0,27.0
"Highland Creek",134.0,"N/A",0.0,0.0,135.0,0.0,501.0,16.0
"Morningside",135.0,"N/A",5.0,873.0,47.0,88.0,2855.0,25.0
"West Hill",136.0,"N/A",20.0,5858.0,496.0,804.0,4429.0,56.0
"Woburn",137.0,"N/A",16.0,11973.0,1025.0,1375.0,5364.0,76.0
"Eglinton East",138.0,"N/A",4.0,67.0,472.0,0.0,570.0,23.0
"Scarborough Village",139.0,"N/A",9.0,3629.0,197.0,1341.0,2201.0,22.0
"Guildwood",140.0,"N/A",0.0,1630.0,65.0,0.0,1952.0,25.0
