"Neighbourhood","Neighbourhood Id","Combined Indicators","Social Assistance Recipients","Local Employment","Businesses","Business Licensing","Child Care Spaces","Inequality (Gini coeff.)","Access to Child Care","Low Income Families","Low Income Singles","Low Income Children","Family Income Category","Household Income Category"
"Rouge",131.0,"N/A",2528.0,13923.0,832.0,159.0,192.0,0.322259,0.396694,10740.0,553.0,549.0,10745.0,12275.0
"Malvern",132.0,"N/A",5275.0,12435.0,665.0,141.0,85.0,0.35291,0.314943,11030.0,1182.0,1319.0,11020.0,12710.0
"Centennial Scarborough",133.0,"N/A",360.0,953.0,125.0,141.0,60.0,0.27061,0.507692,3505.0,113.0,63.0,3505.0,3930.0
"Highland Creek",134.0,"N/A",534.0,1608.0,91.0,39.0,82.0,0.29275,0.466667,3255.0,189.0,85.0,3255.0,3570.0
"Morningside",135.0,"N/A",2423.0,2776.0,100.0,59.0,28.0,0.402339,0.295413,4515.0,696.0,458.0,4510.0,5620.0
"West Hill",136.0,"N/A",4448.0,4551.0,439.0,225.0,134.0,0.435829,0.490647,6620.0,1634.0,621.0,6625.0,9340.0
"Woburn",137.0,"N/A",6647.0,14374.0,1020.0,333.0,210.0,0.41448,0.214933,13860.0,2540.0,1647.0,13850.0,18070.0
"Eglinton East",138.0,"N/A",4405.0,2440.0,313.0,130.0,153.0,0.39983,0.268571,5960.0,1143.0,980.0,5960.0,7865.0
"Scarborough Village",139.0,"N/A",3981.0,1926.0,220.0,127.0,220.0,0.432119,0.350667,3900.0,939.0,622.0,3900.0,5415.0
"Guildwood",140.0,"N/A",300.0,792.0,66.0,41.0,145.0,0.34834,0.466667,2875.0,265.0,67.0,2880.0,3885.0
