"Neighbourhood","Neighbourhood Id","Combined Indicators","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders","Arsons","Fires & Fire Alarms","Fire Vehicle Incidents","Hazardous Incidents","Fire Medical Calls"
"Annex",95.0,"N/A",219.0,28.0,156.0,34.0,14.0,22.0,0.0,3.0,770.0,135.0,243.0,940.0
"Casa Loma",96.0,"N/A",25.0,4.0,32.0,5.0,5.0,4.0,0.0,0.0,208.0,52.0,75.0,280.0
"Yonge-St.Clair",97.0,"N/A",21.0,0.0,37.0,6.0,2.0,4.0,0.0,0.0,191.0,28.0,56.0,195.0
"Rosedale-Moore Park",98.0,"N/A",60.0,7.0,97.0,10.0,10.0,6.0,0.0,0.0,353.0,45.0,131.0,378.0
"Mount Pleasant East",99.0,"N/A",29.0,6.0,32.0,2.0,7.0,2.0,0.0,0.0,136.0,43.0,73.0,139.0
"Yonge-Eglinton",100.0,"N/A",65.0,14.0,36.0,15.0,12.0,5.0,0.0,0.0,210.0,58.0,77.0,281.0
"Forest Hill South",101.0,"N/A",17.0,3.0,48.0,2.0,4.0,5.0,0.0,0.0,209.0,6.0,79.0,192.0
"Forest Hill North",102.0,"N/A",24.0,4.0,38.0,5.0,13.0,3.0,0.0,1.0,126.0,35.0,77.0,247.0
"Lawrence Park South",103.0,"N/A",20.0,3.0,68.0,4.0,15.0,5.0,0.0,0.0,222.0,35.0,87.0,192.0
"Mount Pleasant West",104.0,"N/A",94.0,18.0,52.0,17.0,4.0,7.0,0.0,0.0,301.0,31.0,106.0,535.0
"Lawrence Park North",105.0,"N/A",27.0,4.0,35.0,0.0,22.0,4.0,1.0,0.0,117.0,34.0,80.0,175.0
"Humewood-Cedarvale",106.0,"N/A",45.0,9.0,30.0,8.0,11.0,3.0,0.0,0.0,106.0,29.0,79.0,166.0
"Oakwood Village",107.0,"N/A",117.0,17.0,27.0,36.0,23.0,2.0,2.0,1.0,122.0,14.0,90.0,314.0
"Briar Hill-Belgravia",108.0,"N/A",66.0,5.0,42.0,15.0,15.0,9.0,0.0,0.0,103.0,49.0,87.0,326.0
"Caledonia-Fairbank",109.0,"N/A",67.0,7.0,31.0,18.0,11.0,5.0,0.0,0.0,43.0,22.0,36.0,162.0
"Keelesdale-Eglinton West",110.0,"N/A",79.0,9.0,26.0,36.0,20.0,1.0,1.0,0.0,122.0,45.0,76.0,203.0
"Rockcliffe-Smythe",111.0,"N/A",135.0,25.0,36.0,39.0,44.0,7.0,1.0,3.0,239.0,59.0,123.0,420.0
"Beechborough-Greenbrook",112.0,"N/A",52.0,6.0,18.0,16.0,12.0,2.0,0.0,0.0,64.0,27.0,26.0,166.0
"Weston",113.0,"N/A",183.0,21.0,32.0,40.0,54.0,5.0,1.0,4.0,347.0,63.0,163.0,533.0
"Lambton Baby Point",114.0,"N/A",30.0,4.0,14.0,1.0,6.0,0.0,0.0,0.0,80.0,11.0,48.0,95.0
"Mount Dennis",115.0,"N/A",98.0,6.0,18.0,26.0,27.0,3.0,0.0,6.0,174.0,55.0,57.0,231.0
"Steeles",116.0,"N/A",42.0,6.0,63.0,10.0,17.0,3.0,0.0,0.0,107.0,47.0,28.0,264.0
"L'Amoreaux",117.0,"N/A",123.0,24.0,68.0,50.0,16.0,4.0,0.0,3.0,303.0,79.0,118.0,522.0
