"Neighbourhood","Neighbourhood Id","Combined Indicators","Home Language Category","   Language - Chinese","   Language - Tamil","   Language - Spanish","   Language - Italian","   Language - Portuguese","   Language - Tagalog","   Language - Urdu","   Language - Korean","   Language - Persian (Farsi)","   Language - Russian"
"Lawrence Park South",103.0,"N/A",14820.0,30.0,0.0,50.0,35.0,0.0,90.0,0.0,50.0,10.0,45.0
"Mount Pleasant West",104.0,"N/A",23540.0,465.0,15.0,280.0,0.0,95.0,120.0,30.0,245.0,525.0,565.0
"Lawrence Park North",105.0,"N/A",13690.0,145.0,0.0,60.0,35.0,10.0,25.0,0.0,40.0,45.0,45.0
"Humewood-Cedarvale",106.0,"N/A",13855.0,120.0,10.0,490.0,90.0,70.0,415.0,25.0,20.0,0.0,25.0
"Oakwood Village",107.0,"N/A",21445.0,535.0,0.0,1050.0,1705.0,1420.0,440.0,50.0,45.0,30.0,90.0
"Briar Hill-Belgravia",108.0,"N/A",14195.0,355.0,110.0,660.0,895.0,745.0,610.0,0.0,15.0,40.0,560.0
"Caledonia-Fairbank",109.0,"N/A",10255.0,95.0,20.0,575.0,650.0,2135.0,95.0,15.0,0.0,0.0,10.0
"Keelesdale-Eglinton West",110.0,"N/A",11200.0,190.0,140.0,435.0,680.0,1780.0,90.0,20.0,15.0,0.0,0.0
"Rockcliffe-Smythe",111.0,"N/A",22385.0,325.0,0.0,1530.0,510.0,1630.0,190.0,170.0,55.0,90.0,120.0
"Beechborough-Greenbrook",112.0,"N/A",6285.0,55.0,100.0,280.0,225.0,320.0,145.0,0.0,0.0,0.0,30.0
"Weston",113.0,"N/A",16240.0,155.0,315.0,1160.0,310.0,165.0,80.0,30.0,40.0,195.0,80.0
"Lambton Baby Point",114.0,"N/A",7780.0,10.0,0.0,115.0,15.0,45.0,20.0,10.0,10.0,15.0,130.0
"Mount Dennis",115.0,"N/A",12625.0,205.0,90.0,785.0,175.0,470.0,240.0,85.0,255.0,65.0,25.0
"Steeles",116.0,"N/A",24445.0,13195.0,270.0,25.0,180.0,10.0,225.0,80.0,40.0,60.0,0.0
"L'Amoreaux",117.0,"N/A",45830.0,13750.0,3505.0,230.0,310.0,55.0,565.0,455.0,160.0,590.0,15.0
"Tam O'Shanter-Sullivan",118.0,"N/A",26835.0,7730.0,890.0,100.0,250.0,35.0,405.0,500.0,270.0,285.0,0.0
"Wexford/Maryvale",119.0,"N/A",26430.0,1060.0,805.0,225.0,395.0,70.0,1170.0,225.0,130.0,220.0,40.0
"Clairlea-Birchmount",120.0,"N/A",19555.0,1160.0,295.0,190.0,370.0,70.0,680.0,625.0,15.0,200.0,50.0
"Oakridge",121.0,"N/A",13360.0,885.0,340.0,135.0,115.0,10.0,325.0,325.0,45.0,195.0,45.0
"Birchcliffe-Cliffside",122.0,"N/A",21315.0,715.0,145.0,150.0,170.0,10.0,80.0,85.0,190.0,45.0,45.0
"Cliffcrest",123.0,"N/A",14490.0,310.0,220.0,50.0,45.0,35.0,160.0,165.0,55.0,90.0,70.0
"Kennedy Park",124.0,"N/A",16920.0,1150.0,925.0,75.0,195.0,30.0,780.0,170.0,40.0,265.0,0.0
"Ionview",125.0,"N/A",13010.0,1090.0,750.0,145.0,75.0,0.0,850.0,55.0,20.0,10.0,20.0
"Dorset Park",126.0,"N/A",23745.0,2605.0,2965.0,145.0,75.0,55.0,660.0,525.0,70.0,350.0,10.0
"Bendale",127.0,"N/A",24815.0,2385.0,965.0,340.0,75.0,45.0,360.0,525.0,85.0,400.0,70.0
"Agincourt South-Malvern West",128.0,"N/A",21475.0,7730.0,795.0,90.0,185.0,0.0,310.0,315.0,55.0,115.0,0.0
"Agincourt North",129.0,"N/A",29980.0,13185.0,1855.0,165.0,100.0,35.0,430.0,205.0,140.0,45.0,15.0
"Milliken",130.0,"N/A",26140.0,12905.0,1095.0,80.0,65.0,0.0,355.0,220.0,15.0,40.0,10.0
"Rouge",131.0,"N/A",42810.0,1530.0,3880.0,125.0,50.0,10.0,1440.0,790.0,90.0,285.0,30.0
"Malvern",132.0,"N/A",44295.0,2775.0,5425.0,190.0,15.0,40.0,1250.0,1770.0,85.0,265.0,60.0
"Centennial Scarborough",133.0,"N/A",12325.0,190.0,85.0,85.0,55.0,0.0,195.0,125.0,50.0,0.0,20.0
"Highland Creek",134.0,"N/A",12835.0,385.0,660.0,0.0,100.0,45.0,195.0,105.0,20.0,50.0,0.0
"Morningside",135.0,"N/A",16935.0,445.0,1685.0,110.0,55.0,20.0,440.0,500.0,60.0,280.0,0.0
"West Hill",136.0,"N/A",25345.0,405.0,775.0,180.0,230.0,35.0,445.0,385.0,55.0,265.0,65.0
"Woburn",137.0,"N/A",52310.0,3205.0,3440.0,355.0,220.0,100.0,1230.0,1480.0,75.0,765.0,75.0
"Eglinton East",138.0,"N/A",22185.0,870.0,2170.0,125.0,115.0,105.0,730.0,330.0,20.0,275.0,20.0
"Scarborough Village",139.0,"N/A",15460.0,290.0,1565.0,105.0,70.0,15.0,300.0,1065.0,25.0,600.0,0.0
"Guildwood",140.0,"N/A",9765.0,165.0,45.0,10.0,15.0,15.0,10.0,45.0,30.0,110.0,10.0
