"Neighbourhood","Neighbourhood Id","Combined Indicators","Part-Time Employment","Low Income Families","Low Income Population","Low Income Children (Age 0-17)","Low Income Older Adults (Age 65+)","Low Income Lone Parent Families","Lone Parent Families","Low Income Lone Parent Families Pop","Lone Parent Families Population"
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",1748.0,3860.0,6400.0,1330.0,320.0,550.0,1580.0,1340.0,3820.0
"Wychwood",94.0,"N/A",770.0,1220.0,1940.0,400.0,110.0,190.0,600.0,440.0,1450.0
"Annex",95.0,"N/A",6951.0,3110.0,4260.0,490.0,200.0,230.0,730.0,520.0,1720.0
"Casa Loma",96.0,"N/A",1319.0,630.0,950.0,140.0,60.0,40.0,280.0,130.0,650.0
"Yonge-St.Clair",97.0,"N/A",1221.0,680.0,980.0,110.0,30.0,40.0,320.0,90.0,750.0
"Rosedale-Moore Park",98.0,"N/A",2435.0,1120.0,1650.0,230.0,110.0,70.0,480.0,180.0,1090.0
"Mount Pleasant East",99.0,"N/A",1690.0,760.0,1210.0,200.0,70.0,90.0,480.0,200.0,1100.0
"Yonge-Eglinton",100.0,"N/A",2555.0,770.0,1100.0,150.0,60.0,60.0,310.0,140.0,730.0
"Forest Hill South",101.0,"N/A",874.0,550.0,860.0,100.0,70.0,20.0,210.0,80.0,500.0
"Forest Hill North",102.0,"N/A",290.0,1020.0,1770.0,340.0,90.0,130.0,460.0,320.0,1120.0
"Lawrence Park South",103.0,"N/A",510.0,580.0,930.0,160.0,40.0,20.0,350.0,130.0,860.0
"Mount Pleasant West",104.0,"N/A",4505.0,3220.0,4740.0,700.0,230.0,260.0,990.0,610.0,2270.0
"Lawrence Park North",105.0,"N/A",1342.0,590.0,980.0,190.0,50.0,70.0,420.0,150.0,1010.0
"Humewood-Cedarvale",106.0,"N/A",471.0,1190.0,1820.0,290.0,90.0,150.0,510.0,350.0,1170.0
"Oakwood Village",107.0,"N/A",500.0,2280.0,3930.0,940.0,240.0,440.0,1240.0,1090.0,3020.0
"Briar Hill-Belgravia",108.0,"N/A",637.0,1670.0,2870.0,580.0,180.0,250.0,830.0,620.0,1960.0
"Caledonia-Fairbank",109.0,"N/A",123.0,930.0,1720.0,460.0,80.0,200.0,560.0,500.0,1350.0
"Keelesdale-Eglinton West",110.0,"N/A",424.0,1080.0,1970.0,540.0,130.0,230.0,580.0,580.0,1410.0
"Rockcliffe-Smythe",111.0,"N/A",699.0,2640.0,5160.0,1600.0,240.0,600.0,1530.0,1670.0,4000.0
"Beechborough-Greenbrook",112.0,"N/A",962.0,950.0,1920.0,680.0,60.0,290.0,610.0,830.0,1580.0
"Weston",113.0,"N/A",1986.0,2650.0,5050.0,1680.0,160.0,680.0,1490.0,1890.0,3910.0
"Lambton Baby Point",114.0,"N/A",102.0,690.0,1390.0,510.0,60.0,190.0,450.0,580.0,1170.0
"Mount Dennis",115.0,"N/A",620.0,1930.0,3770.0,1250.0,150.0,510.0,1200.0,1370.0,3150.0
"Steeles",116.0,"N/A",1074.0,3520.0,7570.0,1560.0,710.0,400.0,1090.0,960.0,2610.0
"L'Amoreaux",117.0,"N/A",2015.0,5840.0,12450.0,3230.0,1020.0,860.0,2230.0,2380.0,5730.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1751.0,3100.0,6570.0,1660.0,520.0,420.0,1270.0,1100.0,3080.0
"Wexford/Maryvale",119.0,"N/A",4882.0,2670.0,5500.0,1620.0,330.0,470.0,1470.0,1220.0,3640.0
"Clairlea-Birchmount",120.0,"N/A",4157.0,2680.0,5650.0,1720.0,270.0,440.0,1300.0,1120.0,3200.0
"Oakridge",121.0,"N/A",535.0,2570.0,5890.0,2060.0,140.0,420.0,780.0,1230.0,2150.0
"Birchcliffe-Cliffside",122.0,"N/A",1387.0,1790.0,3050.0,740.0,120.0,320.0,1120.0,770.0,2650.0
"Cliffcrest",123.0,"N/A",491.0,1290.0,2660.0,810.0,170.0,220.0,760.0,600.0,1930.0
"Kennedy Park",124.0,"N/A",532.0,2450.0,4810.0,1380.0,210.0,480.0,1100.0,1250.0,2830.0
"Ionview",125.0,"N/A",270.0,1690.0,3350.0,980.0,180.0,340.0,850.0,900.0,2120.0
